■頭部パーツ
○名称	チップ容量	重量	装甲	射撃補正	索敵	ロックオン	DEF回復	条件	素材・勲章	GP
ネレイド46	2.6	1260	C-	A	D+	B+	C+	ネレイド45改／胴パーツを所持	チタン鋼x5 ニュード素子x5 カロラチップx1	150
ネレイドRT	3.6	1290	C+	C+	D	B+	B-	ネレイド46／胴パーツを所持	オールマイティーx5 超剛性メタルx3 ニュード融素子x1 ハニカム回路x1	250
迅牙	2.5	1170	D+	C	C+	B+	C-	累計バトル時間48000秒以上。または11250pt以上。	隕鉄塊x10 ニュード卵x10 メタモチップx2	100
迅牙・甲	2.3	1240	C+	C+	C	C+	C-	迅牙／胴パーツを所持	鉛板x20 ニュード素子x5 カロラチップx1	150
迅牙・真	2.5	1300	C+	C-	B	B+	C	迅牙・甲／胴パーツを所持	チタン鋼x10 ニュード集積体x2 カロラチップx1	250
迅牙・飛天	2.1	1320	B+	C+	C-	C+	C	迅牙・真／胴パーツを所持	連続勝利章x3 隕石隗x20 ニュード融素子x1 メタモチップx3	350
雷花	2.6	1130	C-	C+	C-	B	D-	累計バトル時間74000秒以上。または累計スコア18375pt以上。	鉛板x20 ニュード卵x15 メタモチップx5	150
雷花・燕	2.2	1090	D+	C	B-	B-	E+	雷花／胴パーツを所持	隕鉄塊x20 ニュード融素子x1 ペンタクル回路x3	200
雷花・麗	2.1	1240	C+	A+	D	B-	C	雷花・燕／胴パーツを所持	COMBO/銅x20 チタン鋼x15 ニュード胚x15 モノリスＮＳＩx1	300
雷花・燐	2.5	1170	C-	B	D	B	B	雷花・麗／胴パーツを所持	COMBO/銀x20 ウーツ重鋼x10 ニュード群体x10 高磁性アグミナx1	400
グライフ65	2.8	1210	D+	D+	B-	B+	B+	累計バトル時間152000秒以上。または累計スコア26250pt以上。	隕鉄塊x15 ニュード素子x15 破損ＩＣx5	150
グライフ66	2.2	1230	C-	B	C+	C+	D	グライフ65／胴パーツを所持	チタン鋼x10 ウーツ重鋼x5 ペンタクル回路x10	200
グライフ65V	2.4	1240	D+	C+	C-	B-	A	グライフ66／胴パーツを所持	オールマイティーx5 超剛性メタルx2 ニュード素子x10 ニュード融素子x1	300
グライフ68G	2.2	1290	C-	C	C	C+	A+	グライフ65V／胴パーツを所持	グランドスラムx2 真鋼テクタイトx2 ロゼンジ重回路x5 高磁性アグミナx5	400
ザオレン	2.5	1240	C	C+	C+	C-	D+	?	隕鉄塊x15 ニュード集積体x2 銀片x10	150
ザオレン・ガイ	2.0	1250	C+	C	B	C-	C-	ザオレン／胴パーツを所持	チタン鋼x10 ニュード融素子x1 ソノチップx3	200
ザオレン・リアン	1.3	1310	C-	D+	A	D	D	ザオレン・ガイ／胴パーツを所持	ターレットスキル/銀x1 複層重合金属x1 ニュード胚x20 ロゼンジ重回路x5	300
ザオレン・ダジアン	1.8	1350	C	B	B	D	C-	ザオレン・リアン／胴パーツを所持	ターレットスキル/金x1 隕鉄塊x15 ニュード結晶体x2 モノリスＮＳＩx2	400
X－Ie	2.1	1330	B-	B	C-	B-	C-	?	隕鉄塊x15 ニュード卵x30 ロゼンジ重回路x3	150
X－IIs	2.2	1270	C+	C	B-	B	B-	X－Ie／胴パーツを所持	超剛性メタルx3 真鋼テクタイトx1 ペンタクル回路x10	200
X－IIIcg	2.1	1360	B	A+	D-	C+	B-	X－IIs／胴パーツを所持	戦闘勝利章x5 隕鉄塊x5 複層重合金属x2 ニュード結晶体x2	350
ヘヴィガードI型	1.9	1430	A	C+	C	D-	C	クラスD4クラスで支給。	なし	0
ヘヴィガードIII型	1.9	1550	A+	B	D+	D-	B	ヘヴィガードI型／胴パーツを所持	チタン鋼x10 ニュード胚x10 ソノチップx1	50
ヘヴィガードIV型	2.0	1500	A	A-	D+	E+	B-	ヘヴィガードIII型／胴パーツを所持	隕鉄塊x5 ニュード集積体x2 銅片x15	150
ヘヴィガードG型	2.2	1570	A+	C	C+	E+	C+	ヘヴィガードIV型／胴パーツを所持	複層重合金属x1 ニュード融素子x1 ソノチップx5	250
ケーファー42	2.2	1380	B+	B-	C-	D+	C+	累計バトル時間18000秒以上。または5625pt以上。	ウーツ重鋼x3 ニュード素子x10 銅片x10	50
ケーファー44	2.1	1420	B+	C+	C+	D+	C+	ケーファー42／胴パーツを所持	超剛性メタルx1 ニュード卵x25 黄金片x10	100
ケーファー45	2.5	1450	B+	A	D	D+	B-	ケーファー44／胴パーツを所持	ウーツ重鋼x5 ニュード集積体x1 銅片x35	200
ケーファー52	2.4	1500	A-	C	B-	D+	C+	ケーファー45／胴パーツを所持	占拠章x15 複層重合金属x2 ニュード群体x2 ロゼンジ重回路x3	300
ロージーR	1.9	1560	A+	C+	C	D	B-	累計バトル時間42000秒以上。または6750pt以上	鉛板x20 ニュード群体x3 メタモチップx1	50
ロージーR＋	1.8	1580	A+	D	A-	D	C+	ロージーR／胴パーツを所持	チタン鋼x10 ニュード素子x5 カロラチップx1	100
ロージーLM	2.0	1530	A+	S-	E+	C-	B-	ロージーR+／胴パーツを所持	ウーツ重鋼x3 ニュード融素子x1 カロラチップx1	200
ロージーEVE	1.7	1620	S	C	D	D	B+	ロージーLM／胴パーツを所持	プラントガード/銀x15 超剛性メタルx5 ニュード融素子x1 黄金片 x3	300
ランドバルクI型	2.1	1340	B	B+	D+	C+	C+	累計バトル時間60000秒以上。または累計スコア13125pt以上。	ウーツ重鋼x5 ニュード胚x15 ソノチップx3	100
ランドバルクII型	2.4	1370	B	A	E+	A-	B-	ランドバルクI型／胴パーツを所持	複層重合金属x1 ニュード集積体x1 ソノチップx3	150
ランドバルクIV型	2.7	1400	B+	C-	C-	A-	C+	ランドバルクII型／胴パーツを所持	複層重合金属x1 ニュード融素子x1 銅片x10	250
ランドバルクAT	2.4	1460	A	B-	D+	B+	C+	ランドバルクIV型を所持	最優秀戦闘章x3 ウーツ重鋼x10 カロラチップx1 破損ＩＣx20	350
ヤーデ54	2.0	1380	A-	C+	C-	C+	C-	累計バトル時間116000秒以上もしくは累計スコア16125pt以上(3.5AB準拠)で開放	チタン鋼x20 ニュード集積体x1 銀片x20	100
ヤーデ54S	2.4	1490	A	B+	D-	D+	B-	ヤーデ54／胴パーツを所持	複層重合金属x1 ニュード卵x15 破損ＩＣ x15	200
ヤーデ55	1.8	1400	A+	C+	D	C+	C-	ヤーデ54S／胴パーツを所持	破壊工作/銀x10 ウーツ重鋼x10 ニュード素子x5 高磁性アグミナx2	300
ヤーデVMT	1.9	1510	S-	B-	D-	C-	C+	ヤーデ55／胴パーツを所持	破壊工作/金x1 超剛性メタルx3 ニュード融素子x1 ハニカム回路x20	400
ジーシェン	2.1	1490	B+	C+	B-	D+	C+	累計バトル時間122000秒以上または累計スコア22875pt以上	隕鉄塊x20 ニュード素子x10 ソノチップx1	150
ジーシェン・フー	2.3	1460	A-	B+	D+	D+	B	ジーシェン／胴パーツを所持	チタン鋼x10 ニュード集積体x3 銅片x15	200
ジーシェン・シー	1.9	1490	B+	A-	C	C-	C-	ジーシェン・フー／胴パーツを所持	施設破壊章x5 複層重合金属x1 ニュード群体x5 メタモチップx2	300
ジーシェン・パイロン	2.3	1520	A	A+	D-	D+	B-	ジーシェン・シー／胴パーツを所持	防衛章x10 複層重合金属x2 ニュード卵x10 破損ＩＣx20	400
スペクターI型	2.5	1380	B+	B	D+	C+	C	累計バトル時間128000秒以上。または累計スコア21750pt以上。	超剛性メタルx2 ニュード卵x20 銀片x10	150
スペクターI型C	2.6	1430	A-	B-	D+	C+	C+	スペクターI型／胴パーツを所持	チタン鋼x10 ニュード集積体x3 ソノチップx2	200
スペクターIII型	2.1	1500	A	C+	C	C+	B-	スペクターI型C／胴パーツを所持	バトルアシスト/銀x10 鉛板x30 ニュード集積体x2 カロラチップx1	300
スペクターMRG	1.7	1420	B+	A	C-	C+	C	スペクターIII型／胴パーツを所持	バトルアシスト/金x10 隕鉄塊x10 真鋼テクタイトx2 ニュード融素子x2	400
アイアンフォートI型	2.2	1390	B+	B-	C	D+	D-	?	鉛板x20 ニュード素子x10 ペンタクル回路x10	150
アイアンフォートII型	2.3	1410	A-	D+	B-	D+	C+	アイアンフォートI型／胴パーツを所持	最優秀戦闘章x1 鉛板x30 チタン鋼x20 ニュード結晶体x1	200
アイアンフォートIV型	2.1	1500	A+	B	C-	D+	D-	アイアンフォートII型／胴パーツを所持	最優秀戦闘章x2 ウーツ重鋼x10 真鋼テクタイトx2 ニュード融素子x1	300
シュライクI型	3.3	1000	E	C	D	A+	D+	クラスD4で支給。	なし	0
シュライクII型	3.5	1030	E	B+	E	A+	C	シュライクI型／胴パーツを所持	隕鉄塊x10 ニュード素子x5 メタモチップx1	50
